timestamp,N,k,s,t,method,runtime_sec,feasible,quality,notes
2025-06-16 12:44:00,9,4,3,2,gurobi_row_selection,0.1522,True,,generado vía CLI
2025-06-16 12:54:52,9,4,3,2,gurobi_cell_vars,0.2748,True,,generado vía CLI
2025-06-16 12:55:18,50,5,5,2,gurobi_row_selection,8.1661,True,,generado vía CLI
2025-06-16 13:18:27,50,5,5,2,gurobi_cell_vars,883.2324,True,,generado vía CLI
2025-06-16 13:37:47,49,4,7,2,gurobi_row_selection,2.3078,True,,generado vía CLI
2025-06-16 13:42:09,49,4,7,2,gurobi_cell_vars,238.9095,True,,generado vía CLI
2025-06-16 13:44:28,81,4,9,2,gurobi_cell_vars,3114.4234,True,,generado vía CLI
2025-06-18 19:36:23,81,4,9,2,gurobi_row_selection,27.1317,True,,generado vía CLI
2025-06-19 19:15:28,343,5,7,2,gurobi_row_selection,398.0303,True,,generado vía CLI
2025-06-19 21:03:01,343,5,7,2,gurobi_column_by_column,3.738,True,,generado vía CLI
2025-06-19 21:03:29,9,4,3,2,gurobi_column_by_column,0.2862,True,,generado vía CLI
2025-06-19 21:03:49,50,5,5,2,gurobi_column_by_column,0.9577,True,,generado vía CLI
2025-06-19 21:04:10,49,4,7,2,gurobi_column_by_column,0.4162,True,,generado vía CLI
2025-06-19 21:05:21,81,4,9,2,gurobi_column_by_column,59.1424,True,,generado vía CLI
2025-06-19 21:08:27,9,4,3,2,cplex_row_selection,0.3333,True,,generado vía CLI
2025-06-19 21:23:27,50,5,5,2,cplex_column_by_column,4.4425,True,,generado vía CLI
2025-06-19 22:04:16,49,4,7,2,cplex_row_selection,4.8946,True,,generado vía CLI
2025-06-19 22:07:28,81,4,9,2,cplex_row_selection,139.4442,True,,generado vía CLI
2025-06-19 22:07:48,81,4,9,2,cbc_row_selection,10000.0,False,,generado vía CLI
2025-06-19 22:08:08,81,4,9,2,cbc_column_by_column,10000.0,False,,generado vía CLI
2025-06-19 22:13:26,49,4,7,2,cplex_column_by_column,149.6726,True,,generado vía CLI
2025-06-19 23:05:11,343,5,7,2,cplex_row_selection,3322.3659,True,,generado vía CLI
2025-06-19 23:05:37,343,5,7,2,cplex_column_by_column,3.3804,True,,generado vía CLI
2025-06-19 23:06:24,343,5,7,2,cbc_row_selection,10000.0,False,,generado vía CLI
2025-06-19 23:06:36,343,5,7,2,gurobi_cell_vars,10000.0,False,,generado vía CLI
2025-06-19 23:06:50,49,4,7,2,cbc_row_selection,2823.2128,True,,generado vía CLI
2025-06-19 23:06:56,50,5,5,2,cplex_row_selection,3490.9874,True,,generado vía CLI
2025-06-19 23:12:14,50,5,5,2,cbc_column_by_column,113.6027,True,,generado vía CLI
2025-06-19 23:12:20,50,5,5,2,cbc_row_selection,10000.0,False,,generado vía CLI
2025-06-25 12:25:22,128,6,4,3,gurobi_row_selection,127.1841,True,,generado vía CLI
2025-06-25 13:02:26,256,5,4,3,gurobi_column_by_column,1.2556,True,,generado vía CLI
2025-06-25 13:02:48,128,6,4,3,gurobi_column_by_column,2168.9174,True,,generado vía CLI
2025-06-25 13:05:21,256,5,4,3,gurobi_row_selection,0.3687,True,,generado vía CLI
2025-06-25 13:07:13,512,5,8,2,gurobi_column_by_column,3.7984,True,,generado vía CLI
2025-06-25 17:42:41,512,5,8,2,gurobi_row_selection,1209.5472,True,,generado vía CLI
2025-06-25 17:43:01,512,5,8,3,gurobi_row_selection,10000.0,False,,generado vía CLI
2025-06-25 17:43:21,512,5,8,3,gurobi_column_by_column,10000.0,False,,generado vía CLI
2025-06-26 13:48:19,9,4,3,2,cplex_column_by_column,0.1329,True,,generado vía CLI
2025-06-29 17:22:08,81,4,9,2,cplex_column_by_column,1571.1321,True,,generado vía CLI
2025-06-26 13:48:26,9,4,3,2,cbc_row_selection,0.1377,True,,generado vía CLI
2025-06-26 13:48:32,9,4,3,2,cbc_column_by_column,0.0892,True,,generado vía CLI
2025-06-26 13:56:19,49,4,7,2,cbc_column_by_column,245.268,True,,generado vía CLI
2025-06-26 13:58:40,343,5,7,2,cbc_column_by_column,55.5563,True,,generado vía CLI
2025-06-28 18:50:58,9,4,3,2,OR-Tools_row_selection,0.0638,True,,generado vía CLI
2025-06-29 00:08:46,50,5,5,2,OR-Tools_row_selection,3.159,True,,generado vía CLI
2025-06-29 00:09:07,49,4,7,2,OR-Tools_row_selection,2.5491,True,,generado vía CLI
2025-06-29 00:12:49,343,5,7,2,OR-Tools_row_selection,104.6235,True,,generado vía CLI
2025-06-29 00:30:34,128,6,4,3,OR-Tools_row_selection,77.1364,True,,generado vía CLI
2025-06-29 00:31:41,256,5,4,3,OR-Tools_row_selection,34.3294,True,,generado vía CLI
2025-06-29 00:32:01,81,4,9,2,OR-Tools_row_selection,2103.6461,True,,generado vía CLI
2025-06-29 00:32:21,512,5,8,2,OR-Tools_row_selection,10000.0,False,,generado vía CLI
2025-06-29 00:32:41,512,5,8,3,OR-Tools_row_selection,10000.0,False,,generado vía CLI
2025-06-29 12:23:43,9,4,3,2,OR-Tools_column_by_column,0.2173,True,,generado vía CLI
2025-06-29 12:23:53,50,5,5,2,OR-Tools_column_by_column,0.6052,True,,generado vía CLI1
2025-06-29 12:27:28,49,4,7,2,OR-Tools_column_by_column,73.8145,True,,generado vía CLI
2025-06-29 12:35:30,81,4,9,2,OR-Tools_column_by_column,68.5311,True,,generado vía CLI
2025-06-29 12:35:42,343,5,7,2,OR-Tools_column_by_column,2.9615,True,,generado vía CLI
2025-06-29 12:36:01,128,6,4,3,OR-Tools_column_by_column,10000.0,False,,generado vía CLI
2025-06-29 13:19:33,256,5,4,3,OR-Tools_column_by_column,11.4566,True,,generado vía CLI
2025-06-29 13:19:48,512,5,8,2,OR-Tools_column_by_column,4.5344,True,,generado vía CLI
2025-06-29 13:20:10,512,5,8,3,OR-Tools_column_by_column,13.2861,True,,generado vía CLI
2025-06-29 13:23:32,9,4,3,2,hexaly_row_selection,0.0215,True,,generado vía CLI
2025-06-29 13:55:35,50,5,5,2,hexaly_row_selection,1833.2516,True,,generado vía CLI
2025-06-29 13:57:59,49,4,7,2,hexaly_row_selection,62.22,True,,generado vía CLI
2025-06-29 14:01:04,81,4,9,2,hexaly_row_selection,10000.0,False,,generado vía CLI
2025-06-29 20:01:12,343,5,7,2,hexaly_row_selection,1882.2517,True,,generado vía CLI
2025-06-29 20:01:32,128,6,4,3,hexaly_row_selection,10000.0,False,,generado vía CLI
2025-06-29 22:02:40,256,5,4,3,hexaly_row_selection,929.7016,True,,generado vía CLI
2025-06-29 22:03:00,512,5,8,2,hexaly_row_selection,10000.0,False,,generado vía CLI
2025-06-29 22:03:20,512,5,8,3,hexaly_row_selection,10000.0,False,,generado vía CLI
2025-06-30 00:20:05,9,4,3,2,hexaly_column_by_column,0.0379,True,,generado vía CLI
2025-06-30 00:20:22,50,5,5,2,hexaly_column_by_column,8.2731,True,,generado vía CLI
2025-06-30 12:20:58,81,4,9,2,hexaly_column_by_column,10000.0,False,,generado vía CLI
2025-06-30 14:00:54,49,4,7,2,hexaly_column_by_column,1004.6907,True,,generado vía CLI
2025-06-30 14:01:19,343,5,7,2,hexaly_column_by_column,8.3716,True,,generado vía CLI
2025-06-30 14:01:39,128,6,4,3,hexaly_column_by_column,10000.0,False,,generado vía CLI
2025-06-30 15:53:07,256,5,4,3,hexaly_column_by_column,215.302,True,,generado vía CLI
2025-06-30 16:02:24,512,5,8,2,hexaly_column_by_column,291.1075,True,,generado vía CLI
2025-06-30 16:02:44,512,5,8,3,hexaly_column_by_column,10000.0,False,,generado vía CLI
